id,0,1,2,sentiment
10,Kendallglows me too love u,😟 😣,-6,positive
36,6YearsOfOneDirection 6yearsof1D  I CANT EVEN 6 YEARS I LOVE YOU GUYS SO MUCH AND I MISS YOU GUYS AND I NEED YOU GUYS TO COME BACK,😭,-4,positive
38,Love ranveersingh to the core  httpstcodIvO89DNIs,😚,3,positive
42,ShannonJohal thanks my love miss youX,😘,4,positive
60,ForzaPapac what was in the wee bag  no wonder youre fulla love,😂,4,positive
62,RT Chymamusique I love people who love music Easier to get along with coz damn Im such an addict,😈,-4,positive
65,RT Koash_ kassandrabeth aw I love you baby Kas,️,0,positive
67,RT FemaleTexts I love this  httpstcoPtrhyiRzDj,😂,4,positive
78,RT CaseyMoreta love you all,️,0,positive
89,katyperry I love you whore,😊,3,positive
91,RT LanaParrilla Go get em tonight 45_Spacer Youre gonna rock the TheWhiskyAGoGo Im there in spirit Love you boys,️,0,positive
94,RT kayyreddingg I just love it when no one responds  1010 recommend for anyone in a boy dilemma,️ ☺,0,positive
101,I like sushi  I love it,️ 😩,-2,positive
102,How can you say you love me but hurt me like that,😰,-2,positive
111,358,️,0,positive
124,EmSlough I would love to have one,️ ☺,0,positive
128,RT Vtsoppa BTS_twt Ive made a video for Bangtans Anniv Happy 3rd AnniversaryBangtan  I love you  httpstcopn8FlWHIMI,😭 😑  😘,0,positive
132,RT jisy06 I love how supportive and encouraging Stephen and Emily are about Olicity and the shippers Theyre the best  httpstco,️,0,positive
145,RT xX_Duryonnaaaaa  I love my boyfriend w everything in me  no one understand not even him,️ 😩,-2,positive
170,I love having that one person you can send ugly snaps too,😈,-4,positive
183,RT SoDamnTrue Michelle Obama James Corden and Missy Elliot  I love this httpstcos1u1dxaAfI,😂,4,positive
197,RT AmruthaDolly MamtaYPatnaik ROFL   I love Atharv  ViTharv JNDSD StarPlus vikram_the_Leo,😂 ☺,4,positive
212,RT HunterRowland That broke my heart guys I never want to see that again If you guys arent happy I can never be  Im gonna get some,😔,-1,positive
242,I love seeing girls with nice makeup its like an obsession  like yass bitch slay,😍,4,positive
280,RT KianLawley i wanted 2 share this special moment w u guys my mom said this made her cry  happy bday mama love u to pieces  https,️ 😑 😂 😢,2,positive
286,RT Jeep_Porn Love this rig by Jr Marco  httpstcoGL1H8vU1Iy,😎,1,positive
287,I love drugs,😂 😍,8,positive
295,RT Saakshi23x What happened to you nikifyinglife Please take care and get well soon bub  Love you,😩 😭,-6,positive
309,RT DREAMER_PRAGATI KarNish looking fabGn my love KarNish sdTcSleepwell tons of loven blessings nisharawal _KaranMehra  h,😘 ️ 😇,8,positive
316,I TEARED UP I LOVE THEM ALL SO MUCH httpstcoNIbMuw5UPE,😢,-2,positive
317,RT fayak_m HAPPY 18th MINI Thank you for being my best friend amp always having my back I love you so much httpstcoqqgiSZmEa5,😍 😭,0,positive
322,love weekends when babe can sleep in and not leave me in the mornings,😴,0,positive
324,This can NOT be  I still love My King even though his poor decision HunterRowland supporter forever babe httpstcoWnEVTZMCmD,️ ☺ 😭 😑 😂 😒,-2,positive
328,onedirection i love,😍,4,positive
330,RT Dory I love this  httpstcow6yK8AcrNL,😂,4,positive
341,You dont just take love you have to earn it  gn,😘  ️,4,positive
354,ohh_heyybee awe happy birthday B hope u have a good one stay cute love ya,😊,3,positive
359,sphbennett happy bday Love u See you laterzzzx  httpstcobgqbn1pzj8,️,0,positive
373,I love that freaky shit,😜 😊 😉,6,positive
385,SO to My Girlfriend for having my back no matter what I got much love for tha kid  TORACE_,😍,4,positive
390,craig_erickson_ Thank you so much I love you,️ ☺,0,positive
399,RT iliannatijerina marlena1027 NO WAY MARLENA I LOVE YOU SO MUCH OML,️ 😩 😭,-6,positive
414,RT ItsMarvinManee_ Love it wen my room is cold gonna sleep gooood,😍,4,positive
416,Love my mutt more than anything httpstcoskskGNAdNQ,️,0,positive
422,RT Herb_god_Kim First thing Jaime said tonight was well you smell nice  instead of Hey Kim I missed ya lmao still got much love fo,😂,4,positive
446,BestMusicVideo Ive ever seen  httpstco4u1AcshovH,😑,0,positive
452,_Anodrac love of my life,😍,4,positive
